Ref-No.	Citation
94	Chase, M. W., J. L. Reveal, M. F. Fay (2009). A subfamilial classification for the expanded asparagalean families Amaryllidaceae, Asparagaceae and Xanthorrhoeaceae. Botanical Journal of the Linnean Society 161(2): 132-136.
95	Chase, M. W., D. E. Soltis, R. G. Olmstead, D. Morgan, D. H. Les, B. D. Mishler, M. R. Duvall, R. A. Price, H. G. Hills, Y. L. Qui, K. A. Kron, J. H. Rettig, E. Conti, J. D. Palmer, J. R. Manhart, K. J. Sytsma, H. J. Michaels, W. J. Kress, K. G. Karol, W. D. Clark, M. Hedrén, B. S. Gaut, R. K. Jansen, K. J. Kim, C. F. Wimpee, J. F. Smith, G. R. Furnier, S. H. Strauss, Q. Y. Xiang, G. M. Plunkett, P. S. Soltis, S. M. Swensen, S. E. Williams, P. A. Gadek, C. J. Quinn, L. E. Eguiarte, E. Golenberg, G. H. Learn, S. W. Graham, S. C. H. Barrett, S. Dayanandan, V. A. Albert (1993). Phylogenetics of seed plants: an analysis of nucleotide sequences from the plastid gene rbcL. Annals of the Missouri Botanical Garden 80: 528-580.
96	Chelaifa, H., F. Mahe, M. Ainouche (2010). Transcriptome divergence between the hexaploid salt-marsh sister species Spartina maritima and Spartina alterniflora (Poaceae). Molecular Ecology 19(10): 2050-2063.
97	Chen, J.-H., H. Sun, J. Wen, Y.-P. Yang (2010). Molecular phylogeny of Salix L. (Salicaceae) inferred from three chloroplast datasets and its systematic implications. Taxon 59(1): 29-37.
98	Chen, L.-Y., J.-M. Chen, R. Gituru, Q.-F. Wang (2012). Generic phylogeny, historical biogeography and character evolution of the cosmopolitan aquatic plant family Hydrocharitaceae. BMC Evolutionary Biology 12(1): 30.
99	Chen, L.-Y., J.-M. Chen, R. W. Gituru, T. D. Temam, Q.-F. Wang (2012). Generic phylogeny and historical biogeography of Alismataceae, inferred from multiple DNA sequences. Molecular Phylogenetics and Evolution 63(2): 407-416.
100	Chen, S., G. Wu, S. Chen, J. Ren, D. Qin (2010). Molecular phylogeny and biogeography of the narrow endemic Coelonema and affinitive Draba (Brassicaceae) based on two DNA regions. Biochemical Systematics and Ecology 38(4): 796-805.
101	Chen, Z. D. and J. H. Li (2004). Phylogenetics and biogeography of Alnus (Betulaceae) inferred from sequences of nuclear ribosomal DNA ITS region. International Journal of Plant Sciences 165(2): 325-335.
102	Chen, Z. D., S. R. Manchester, H. Y. Sun (1999). Phylogeny and evolution of the Betulaceae as inferred from DNA sequences, morphology, and paleobotany. American Journal of Botany 86: 1168-1181.
103	Chester, M., R. S. Cowan, M. F. Fay, T. C. G. Rich (2007). Parentage of endemic Sorbus L. (Rosaceae) species in the British Isles: evidence from plastid DNA. Botanical Journal of the Linnean Society 154(3): 291-304.
104	Cho, Y., J. P. Mower, Y. L. Qiu, J. D. Palmer (2004). Mitochondrial substitution rates are extraordinarily elevated and variable in a genus of flowering plants. Proceedings of the National Academy of Sciences of the United States of America 101(51): 17741-17746.
105	Choi, B. H., D. I. Seok, Y. Endo, H. Ohashi (2006). Phylogenetic significance of stylar features in genus Vicia (Leguminosae): an analysis with molecular phylogeny. Journal of Plant Research 119(5): 513-523.
106	Christin, P.-A., C. P. Osborne, R. F. Sage, M. n. Arakaki, E. J. Edwards (2011). C4 eudicots are not younger than C4 monocots. Journal of Experimental Botany 62(9): 3171-3181.
107	Christin, P. A., G. Besnard, E. Samaritani, M. R. Duvall, T. R. Hodkinson, V. Savolainen, N. Salamin (2008). Oligocene CO2 decline promoted C-4 photosynthesis in grasses. Current Biology 18(1): 37-43.
108	Chrtek, J., Jr., J. Zahradnicek, K. Krak, J. Fehrer (2009). Genome size in Hieracium subgenus Hieracium (Asteraceae) is strongly correlated with major phylogenetic groups. Annals of Botany 104(1): 161-178.
109	Clarkson, J. J., S. Knapp, V. F. Garcia, R. G. Olmstead, A. R. Leitch, M. W. Chase (2004). Phylogenetic relationships in Nicotiana (Solanaceae) inferred from multiple plastid DNA regions. Molecular Phylogenetics and Evolution 33(1): 75-90.
110	Coleman, M., A. Liston, J. W. Kadereit, R. J. Abbott (2003). Repeat intercontinental dispersal and Pleistocene speciation in disjunct Mediterranean and desert Senecio (Asteraceae). American Journal of Botany 90(10): 1446-1454.
111	Comes, H. P. and R. J. Abbott (2001). Molecular phylogeography, reticulation, and lineage sorting in Mediterranean Senecio sect. Senecio (Asteraceae). Evolution 55(10): 1943-1962.
112	Comes, H. P. and J. W. Kadereit (2003). Spatial and temporal patterns in the evolution of the flora of the European Alpine system. Taxon 52(3): 451-462.
113	Constantinidis, T., G. K. Psaras, G. Kamari (2001). Seed morphology in relation to infrageneric classification of Consolida (DC.) Gray (Ranunculaceae). Flora 196(2): 81-100.
114	Conti, E., A. Fischbach, K. J. Sytsma (1993). Tribal relationships in Onagraceae - implications from rbcL sequence data. Annals of the Missouri Botanical Garden 80(3): 672-685.
115	Conti, E., D. E. Soltis, T. M. Hardig, J. Schneider (1999). Phylogenetic relationships of the silver saxifrages (Saxifraga, sect. Ligulatae Haworth): Implications for the evolution of substrate specificity, life histories, and biogeography. Molecular Phylogenetics and Evolution 13: 536-555.
116	Conti, E., E. Suring, D. Boyd, J. Jorgensen, J. Grant, S. Kelso (2000). Phylogenetic relationships and character evolution in Primula L.: the usefulness of ITS sequence data. Plant Biosystems 134(3): 385-392.
117	Cook, L. G. and M. D. Crisp (2005). Not so ancient: the extant crown group of Nothofagus represents a post-Gondwanan radiation. Proceedings of the Royal Society B: Biological Sciences 272(1580): 2535-2544.
118	Couvreur, T. L. P., A. Franzke, I. A. Al-Shehbaz, F. T. Bakker, M. A. Koch, K. Mummenhoff (2010). Molecular phylogenetics, temporal diversification, and principles of evolution in the Mustard family (Brassicaceae). Mol Biol Evol 27(1): 55-71.
119	Cubas, P., C. Pardo, H. Tahiri (2002). Molecular approach to the phylogeny and systematics of Cytisus (Leguminosae) and related genera based on nucleotide sequences of nrDNA (ITS region) and cpDNA (trnL-trnF intergenic spacer). Plant Systematics and Evolution 233(3-4): 223-242.
120	Datson, P., B. Murray, K. Steiner (2008). Climate and the evolution of annual/perennial life-histories in Nemesia (Scrophulariaceae). Plant Systematics and Evolution 270(1): 39-57.
121	Datwyler, S. L. and G. D. Weiblen (2004). On the origin of the fig: phylogenetic relationships of Moraceae from ndhF sequences. American Journal of Botany 91(5): 767-777.
122	Davis, C. C., W. R. Anderson, K. J. Wurdack (2005). Gene transfer from a parasitic flowering plant to a fern. Proceedings of the Royal Society B: Biological Sciences 272(1578): 2237-2242.
123	Davis, C. C. and M. W. Chase (2004). Elatinaceae are sister to Malpighiaceae; Peridiscaceae belong to Saxifragales. American Journal of Botany 91(2): 262-273.
124	Davis, C. C., C. O. Webb, K. J. Wurdack, C. A. Jaramillo, M. J. Donoghue (2005). Explosive radiation of Malpighiales supports a mid-Cretaceous origin of modern tropical rain forests. American Naturalist 165(3): E36-E65.
125	de Groot, G. A., H. J. During, J. W. Maas, H. Schneider, J. C. Vogel, R. H. J. Erkens (2011). Use of rbcL and trnL-F as a two-locus DNA barcode for identification of NW-European ferns: an ecological perspective. PLoS ONE 6(1): e16371.
126	Degtjareva, G. V., S. J. Casper, F. H. Hellwig, A. R. Schmidt, J. Steiger, D. D. Sokoloff (2006). Morphology and nrITS phylogeny of the genus Pinguicula L. (Lentibulariaceae), with special attention to embryo evolution. Plant Biology 8(6): 778-790.
127	del Hoyo, A., J. L. García-Marín, J. Pedrola-Monfort (2009). Temporal and spatial diversification of the African disjunct genus Androcymbium (Colchicaceae). Molecular Phylogenetics and Evolution 53(3): 848-861.
128	Der, J. P. and D. L. Nickrent (2008). A molecular phylogeny of Santalaceae (Santalales). Systematic Botany 33(1): 107-116.
129	Des Marais, D. L., A. R. Smith, D. M. Britton, K. M. Pryer (2003). Phylogenetic relationships and evolution of extant horsetails, equisetum, based on chloroplast DNA sequence data (rbcL and trnL-F). International Journal of Plant Sciences 164(5): 737-751.
130	Dillon, M. O., T. Tu, L. Xie, V. Quipuscoa Silvestre, J. Wen (2009). Biogeographic diversification in Nolana (Solanaceae), a ubiquitous member of the Atacama and Peruvian Deserts along the western coast of South America. Journal of Systematics and Evolution 47(5): 457-476.
131	Dobeš, C. and J. Paule (2010). A comprehensive chloroplast DNA-based phylogeny of the genus Potentilla (Rosaceae): Implications for its geographic origin, phylogeography and generic circumscription. Molecular Phylogenetics and Evolution 56(1): 156-175.
132	Dogan, M. (1999). A concise taxonomic revision of the genus Alopecurus L. (Gramineae). Turkish Journal of Botany 23: 245-262.
